Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Sri Lanka,LKA,Fixed broadband subscriptions,IT.NET.BBND,626000,892000,1220000,1540000,1670000,1780000,2390000,2200000,2010000,
Lower middle income,LMC,Fixed broadband subscriptions,IT.NET.BBND,45000000,53500000,59000000,65900000,73800000,89300000,105500000,118300000,129800000,
Low & middle income,LMY,Fixed broadband subscriptions,IT.NET.BBND,432753986,495944019,587717870,619173352,678983202,748864209,832439713,901581012,,
Lesotho,LSO,Fixed broadband subscriptions,IT.NET.BBND,2060,2230,4820,5760,4620,5060,8000,9090,8870,
Late-demographic dividend,LTE,Fixed broadband subscriptions,IT.NET.BBND,385464311,437059320,521640326,543560449,593475820,639870557,705520735,769017973,,
Lithuania,LTU,Fixed broadband subscriptions,IT.NET.BBND,833000,858000,799000,789000,790000,797000,802000,809000,806000,
Luxembourg,LUX,Fixed broadband subscriptions,IT.NET.BBND,195000,203000,215000,224000,232000,235000,244000,250000,,
Latvia,LVA,Fixed broadband subscriptions,IT.NET.BBND,504000,519000,526000,526000,509000,491000,490000,489000,489000,
"Macao SAR, China",MAC,Fixed broadband subscriptions,IT.NET.BBND,170000,178000,186000,193000,200000,208000,206000,209000,212000,
St. Martin (French part),MAF,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,
Morocco,MAR,Fixed broadband subscriptions,IT.NET.BBND,1150000,1260000,1380000,1550000,1750000,2100000,2270000,2420000,,
Monaco,MCO,Fixed broadband subscriptions,IT.NET.BBND,18400,18600,19300,19700,20500,20900,21200,21500,21800,
Moldova,MDA,Fixed broadband subscriptions,IT.NET.BBND,534000,557000,584000,623000,671000,719000,762000,800000,841000,
Madagascar,MDG,Fixed broadband subscriptions,IT.NET.BBND,23700,26400,25100,27200,30000,32000,30900,32700,33600,
Maldives,MDV,Fixed broadband subscriptions,IT.NET.BBND,23200,29300,36500,47400,53200,63700,76500,91200,98500,
Middle East & North Africa,MEA,Fixed broadband subscriptions,IT.NET.BBND,26900000,29900000,39200000,42800000,44300000,51100000,57900000,63600000,68700000,
Mexico,MEX,Fixed broadband subscriptions,IT.NET.BBND,14800000,15900000,17000000,18400000,19400000,22500000,24600000,26300000,26600000,
Marshall Islands,MHL,Fixed broadband subscriptions,IT.NET.BBND,1000,1000,1000,1000,1000,1000,942,942,,
Middle income,MIC,Fixed broadband subscriptions,IT.NET.BBND,430725244,493662706,585497938,617118529,676411607,745988937,829308024,900352372,,
North Macedonia,MKD,Fixed broadband subscriptions,IT.NET.BBND,364000,382000,396000,428000,454000,476000,499000,515000,,
Mali,MLI,Fixed broadband subscriptions,IT.NET.BBND,3500,21400,15400,121000,143000,244000,145000,179000,,
Malta,MLT,Fixed broadband subscriptions,IT.NET.BBND,163000,171000,181000,192000,203000,213000,221000,229000,236000,
Myanmar,MMR,Fixed broadband subscriptions,IT.NET.BBND,32900,89700,112000,129000,486000,689000,893000,1130000,1510000,
Middle East & North Africa (excluding high income),MNA,Fixed broadband subscriptions,IT.NET.BBND,16219582,18930022,26342911,29061340,30746369,36116698,39718065,38524470,,
Montenegro,MNE,Fixed broadband subscriptions,IT.NET.BBND,112000,115000,137000,159000,179000,184000,188000,196000,203000,
Mongolia,MNG,Fixed broadband subscriptions,IT.NET.BBND,208000,226000,285000,306000,318000,308000,380000,437000,499000,
Northern Mariana Islands,MNP,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,
Mozambique,MOZ,Fixed broadband subscriptions,IT.NET.BBND,42600,46600,61600,70100,70000,70000,65500,64600,,
Mauritania,MRT,Fixed broadband subscriptions,IT.NET.BBND,9640,11100,12600,13200,10800,18500,19200,13900,,
Mauritius,MUS,Fixed broadband subscriptions,IT.NET.BBND,197000,213000,246000,275000,307000,323000,329000,334000,343000,
Malawi,MWI,Fixed broadband subscriptions,IT.NET.BBND,5860,8690,10800,11400,11400,12300,13400,14900,16800,
Malaysia,MYS,Fixed broadband subscriptions,IT.NET.BBND,3060000,2720000,2690000,2700000,2960000,3360000,3730000,4220000,4580000,
North America,NAC,Fixed broadband subscriptions,IT.NET.BBND,115400000,119100000,122100000,125200000,129500000,136800000,141900000,144400000,147700000,
Namibia,NAM,Fixed broadband subscriptions,IT.NET.BBND,70400,64300,65800,62900,69000,78800,89300,95100,104000,
