Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Low & middle income,LMY,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.372307416,1.411431397,1.359369393,1.446135503,1.475545361,1.667225954,1.927546827,,,
Lesotho,LSO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.051010001,,,,,,,,,
Late-demographic dividend,LTE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.609068403,1.675268988,1.668971398,1.692880269,1.795003029,1.952363222,2.052153913,2.156542518,,
Lithuania,LTU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.043409944,0.842410028,0.896260023,0.936619997,0.992659986,1.132609963,1.104359984,1.053189993,,
Luxembourg,LUX,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.25225997,1.266899943,1.238980055,1.171800017,1.181769967,1.095839977,1.041200042,0.976530015,,
Latvia,LVA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.619400024,0.435140014,0.511039972,0.638689995,0.638469994,0.73439002,0.746219993,0.763819993,,
"Macao SAR, China",MAC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.136490002,0.234919995,0.172099993,0.201130003,0.247209996,0.453269988,0.373180002,0.436879992,0.263779998,
St. Martin (French part),MAF,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Morocco,MAR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Monaco,MCO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Moldova,MDA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.30735001,0.280039996,0.257889986,0.256260008,0.241449997,0.23511,0.231539994,0.229829997,0.223419994,
Madagascar,MDG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,0.01264,0.01275,,,,,,,
Maldives,MDV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Middle East & North Africa,MEA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,1.628551938,1.515823626,,,
Mexico,MEX,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.414770007,0.376010001,0.319550008,0.298159987,0.276059985,0.291909993,0.273779988,0.25782001,0.268189996,
Marshall Islands,MHL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Middle income,MIC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.376391405,1.412999401,1.364707079,1.446350343,1.477418896,1.668209403,1.930282101,,,
North Macedonia,MKD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.44411999,0.435849994,0.354389995,0.363669991,0.367830008,0.372640014,0.37252,0.379750013,0.395020008,
Mali,MLI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.314619988,,0.291979998,,0.157680005,,0.17385,,,
Malta,MLT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.715149999,0.556890011,0.552320004,0.572109997,0.559930027,0.645659983,0.652050018,0.604330003,,
Myanmar,MMR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,0.03218,0.058809999,0.083410002,0.155670002,0.124020003,0.035190001,0.02376,
Middle East & North Africa (excluding high income),MNA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,0.571260421,,,,,,,
Montenegro,MNE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.374000013,0.324539989,0.34898001,0.503740013,0.363279998,,,,,
Mongolia,MNG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.156399995,0.183449998,0.134200007,0.101609997,0.092699997,0.13301,0.100079998,0.08365,,
Northern Mariana Islands,MNP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Mozambique,MOZ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.30814001,,,,,,,,,
Mauritania,MRT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,0.01019,,,,,,
Mauritius,MUS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,0.354229987,0.333869994,0.35699001,0.402990013,0.367839992,0.308299989,0.234009996,
Malawi,MWI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Malaysia,MYS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.279450059,1.415169954,,1.040259957,,0.95055002,,,,
North America,NAC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.687788516,2.7535154,2.79075237,2.892981533,3.041962411,3.316492713,3.356625203,3.44238604,,
Namibia,NAM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,0.64647001,,
New Caledonia,NCL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Niger,NER,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Nigeria,NGA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,0.284440011,,,,,
Nicaragua,NIC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.107419997,,,,,,,,,
Netherlands,NLD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.14605999,2.150810003,2.178570032,2.138799906,2.184350014,2.321820021,2.268769979,2.255330086,,
Norway,NOR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.923499942,2.032870054,2.081670046,2.03482008,2.135999918,2.24435997,1.887639999,1.557520032,,
Nepal,NPL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Nauru,NRU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
New Zealand,NZL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.227890015,,1.349050045,,1.408030033,,1.465690017,,,
OECD members,OED,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.469076087,2.518707498,2.544735398,2.650480068,2.720715276,2.932856604,2.912892061,3.022187027,,
Oman,OMN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.218659997,0.226909995,0.199249998,0.190310001,0.272549987,0.315990001,0.289779991,0.275059998,0.36728999,
Other small states,OSS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,0.999116603,,,,,,
Pakistan,PAK,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.221929997,,0.212139994,,0.17475,,0.164309993,,0.163749993,
Panama,PAN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.107450001,0.132400006,0.135299996,0.133589998,0.136240005,0.232350007,0.176880002,0.182429999,0.157910004,
Peru,PER,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.117020003,0.120080002,0.120849997,0.126829997,0.156959996,0.172289997,0.13752,0.16178,,
Philippines,PHL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.156829998,,,0.322219998,,,,,,
