Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Spain,ESP,Fixed broadband subscriptions,IT.NET.BBND,13500000.0,14100000.0,14700000.0,15200000.0,15600000.0,16200000.0,16700000.0,17100000.0,18200000.0
Estonia,EST,Fixed broadband subscriptions,IT.NET.BBND,390000.0,414000.0,428000.0,441000.0,449000.0,456000.0,498000.0,514000.0,516000.0
Ethiopia,ETH,Fixed broadband subscriptions,IT.NET.BBND,478000.0,559000.0,63000.0,919000.0,159000.0,212000.0,488000.0,566000.0,1980000.0
European Union,EUU,Fixed broadband subscriptions,IT.NET.BBND,139127853.0,144211616.0,149810842.0,154290371.0,158462238.0,163762167.0,168367743.0,172887839.0,1980000.0
Fragile and conflict affected situations,FCS,Fixed broadband subscriptions,IT.NET.BBND,10000000.0,11100000.0,15800000.0,16200000.0,18700000.0,22200000.0,22500000.0,22700000.0,25500000.0
Finland,FIN,Fixed broadband subscriptions,IT.NET.BBND,1730000.0,1710000.0,1710000.0,1740000.0,1800000.0,1850000.0,1860000.0,1910000.0,1980000.0
Fiji,FJI,Fixed broadband subscriptions,IT.NET.BBND,12700.0,12300.0,12100.0,19100.0,21500.0,23100.0,23100.0,23300.0,1980000.0
France,FRA,Fixed broadband subscriptions,IT.NET.BBND,26900000.0,27700000.0,28500000.0,29100000.0,29800000.0,30600000.0,31500000.0,32000000.0,32300000.0
Faroe Islands,FRO,Fixed broadband subscriptions,IT.NET.BBND,17800.0,18000.0,18000.0,18200.0,18200.0,18400.0,18400.0,18700.0,1980000.0
"Micronesia, Fed. Sts.",FSM,Fixed broadband subscriptions,IT.NET.BBND,3280.0,3170.0,3780.0,919000.0,5000.0,6000.0,6000.0,6520.0,1980000.0
Gabon,GAB,Fixed broadband subscriptions,IT.NET.BBND,11100.0,15000.0,14700.0,21100.0,24400.0,44600.0,63000.0,80300.0,1980000.0
United Kingdom,GBR,Fixed broadband subscriptions,IT.NET.BBND,24700000.0,25500000.0,26000000.0,26600000.0,26900000.0,27300000.0,27800000.0,28100000.0,28200000.0
Georgia,GEO,Fixed broadband subscriptions,IT.NET.BBND,636000.0,681000.0,776000.0,857000.0,937000.0,968000.0,1010000.0,1080000.0,1100000.0
Ghana,GHA,Fixed broadband subscriptions,IT.NET.BBND,73100.0,86600.0,56800.0,61300.0,58500.0,78400.0,115000.0,207000.0,223000.0
Gibraltar,GIB,Fixed broadband subscriptions,IT.NET.BBND,15600.0,16400.0,17400.0,19000.0,19500.0,21000.0,22100.0,22900.0,1980000.0
Guinea,GIN,Fixed broadband subscriptions,IT.NET.BBND,1000.0,1100.0,1130.0,1210.0,1250.0,1000.0,1000.0,882.0,1980000.0
"Gambia, The",GMB,Fixed broadband subscriptions,IT.NET.BBND,3570.0,3750.0,4000.0,4430.0,5000.0,5000.0,5000.0,5690.0,1980000.0
Guinea-Bissau,GNB,Fixed broadband subscriptions,IT.NET.BBND,1050.0,886.0,853.0,1200.0,1230.0,2380.0,3300.0,4620.0,6690.0
Equatorial Guinea,GNQ,Fixed broadband subscriptions,IT.NET.BBND,3800.0,3380.0,1900.0,1620.0,1000.0,1840.0,1720.0,1820.0,1980000.0
Greece,GRC,Fixed broadband subscriptions,IT.NET.BBND,3440000.0,3620000.0,3780000.0,3960000.0,4110000.0,4260000.0,4440000.0,4470000.0,4480000.0
Grenada,GRD,Fixed broadband subscriptions,IT.NET.BBND,19800.0,20800.0,22200.0,27000.0,31800.0,32000.0,30500.0,34800.0,1980000.0
Greenland,GRL,Fixed broadband subscriptions,IT.NET.BBND,10000.0,558000.0,12200.0,13500.0,14600.0,15700.0,16800.0,17900.0,1980000.0
Guatemala,GTM,Fixed broadband subscriptions,IT.NET.BBND,460000.0,506000.0,531000.0,919000.0,585000.0,612000.0,612000.0,897000.0,921000.0
Guam,GUM,Fixed broadband subscriptions,IT.NET.BBND,427500.0,558000.0,602000.0,919000.0,3000.0,3000.0,3000.0,3040.0,1980000.0
Guyana,GUY,Fixed broadband subscriptions,IT.NET.BBND,53700.0,57200.0,64900.0,919000.0,83000.0,95000.0,95000.0,106000.0,1980000.0
High income,HIC,Fixed broadband subscriptions,IT.NET.BBND,404800000.0,418300000.0,435300000.0,446900000.0,459200000.0,478300000.0,495800000.0,508800000.0,522300000.0
"Hong Kong SAR, China",HKG,Fixed broadband subscriptions,IT.NET.BBND,2350000.0,2630000.0,2660000.0,2710000.0,2800000.0,2890000.0,2940000.0,2980000.0,2970000.0
