Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,7047.126546,6677.070039,6921.733731,7624.277523,7441.178647,6605.803461,8181.409141,8409.207415,7802.836596
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,44964.39114,40985.23514,40572.12148,43203.81411,42662.53537,40201.68124,46896.86624,45935.92765,49463.85546
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4086.622347,4143.401257,4418.752065,4804.054604,4741.283272,4300.857013,5083.606955,6729.846599,8283.669602
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,1721.699644,1913.186733,2012.970258,2196.612906,2186.189241,2196.547893,2445.500818,2240.279451,2260.287413
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,6154.495935,5968.538696,6446.312069,6865.5731075,6804.149231,6247.5969245,7054.6358055,7606.237525,7820.232404
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,747.3569668,711.9965098,833.5986217,933.2736156,1031.341465,1053.660977,1244.965505,1416.59612,1541.040509
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,619.5363643,650.0565013,642.5226413,696.219807,738.186752,720.3351434,781.8909252,836.2448759,888.1574077
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,645.0668372,679.6653866,783.1231866,808.5316132,807.359904,817.7803357,900.4077808,853.281304,951.2427483
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,9068.910032,7453.197979,7809.104657,8102.470848,6804.149231,5764.055029,6945.630698,7589.299649,6677.793435
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,17980.72982,17919.24264,18631.99301,19873.40152,19335.3602,17886.73317,20654.7002,20971.83493,23400.72788
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,8694.12438,9221.234611,9751.426612,10083.02128,10462.79292,8968.558901,9622.240505,10474.26529,11246.34512
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,44536.35497,48181.74535,50765.74947,54545.13586,53309.20359,54693.07668,57116.29577,7606.237525,7820.232404
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,3893.505218,4060.137556,4324.996079,4352.946518,4511.997552,4477.617618,4913.947129,5358.089638,5762.821746
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,35165.70146,35930.65949,36779.00789,37195.95031,39274.94314,36482.9364,38074.87937,41833.15171,7820.232404
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,5640.415606,5870.878238,6178.665044,6048.386972,6405.824434,6775.709391,9860.872334,17913.49101,20765.35036
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,36650.44901,37140.55958,38873.8614,41180.34269,41457.38717,40262.86988,45229.27533,46632.84861,48752.71274
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,42432.16197,43734.19807,46160.42979,48537.56689,48359.0012,46109.22999,49770.56424,48826.05277,50531.73854
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2271.20266,2307.344684,2413.007656,2464.642415,2502.327443,2307.614943,2735.147515,3003.289968,3231.657245
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,909.4943523,893.0105975,931.78788,968.1872953,976.3125476,959.1817376,1040.034107,1100.340765,1231.81257
