Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
High income,HIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.3,82.5,84.2,86.4,87.5,88.5,90.0,91.1,92.3
"Hong Kong SAR, China",HKG,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.9,87.5,89.4,90.5,91.7,92.4,93.1,95.6,96.0
Honduras,HND,Individuals using the Internet (% of population),IT.NET.USER.ZS,27.1,29.5,31.7,36.0,39.4,45.2,52.0,56.4,58.3
Heavily indebted poor countries (HIPC),HPC,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Croatia,HRV,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.8,72.7,67.1,75.3,79.1,78.3,81.3,82.1,83.2
Haiti,HTI,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.2,22.8,27.2,32.5,39.3,40.77,44.8,48.27,62.7
Hungary,HUN,Individuals using the Internet (% of population),IT.NET.USER.ZS,72.8,79.3,76.8,76.1,80.4,84.8,88.6,89.1,91.5
IBRD only,IBD,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
IDA & IBRD total,IBT,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
IDA total,IDA,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
IDA blend,IDB,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Indonesia,IDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.1,25.4,32.3,39.9,47.7,53.7,62.1,66.5,69.2
IDA only,IDX,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Isle of Man,IMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.9,16.5,18.2,20.1,29.5,43.4,49.47,55.9,49.77
Not classified,INX,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Ireland,IRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.5,83.5,84.1,87.0,87.0,92.0,96.4,96.6,96.5
"Iran, Islamic Rep.",IRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,45.3,53.2,64.0,70.2,72.5,75.6,78.6,79.1,79.6
Iraq,IRQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,15.2,19.9,49.4,33.9,44.3,53.7,65.0,78.7,81.7
Iceland,ISL,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.2,98.2,98.3,99.0,99.5,99.5,99.7,99.8,99.8
Israel,ISR,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.4,79.7,81.6,83.7,86.8,90.1,90.3,91.9,87.0
Italy,ITA,Individuals using the Internet (% of population),IT.NET.USER.ZS,58.1,61.3,63.1,74.4,67.9,70.5,74.9,85.1,87.0
Jamaica,JAM,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.2,44.4,55.1,68.2,70.8,76.4,82.4,82.4,83.4
Jordan,JOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,54.2,56.2,64.5,65.2,70.1,78.4,86.0,90.5,92.5
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.1,93.2,91.7,88.7,92.7,90.2,82.9,84.9,87.0
Kazakhstan,KAZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.8,74.6,76.4,78.9,81.9,85.9,90.9,92.3,92.9
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,16.6,16.6,17.8,19.5,22.7,24.43,27.53,31.83,35.0
Kyrgyz Republic,KGZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,30.2,40.5,50.8,62.8,64.1,72.0,77.1,82.6,88.5
Cambodia,KHM,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.43,32.4,32.9,38.5,52.3,53.7,58.0,59.7,60.7
Kiribati,KIR,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.9,19.4,25.3,33.0,39.6,48.27,78.4,75.57,88.0
St. Kitts and Nevis,KNA,Individuals using the Internet (% of population),IT.NET.USER.ZS,66.2,67.0,67.8,68.6,69.4,70.3,74.4,75.6,76.4
"Korea, Rep.",KOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.9,92.8,95.1,96.0,96.2,96.5,97.6,97.2,97.4
Kuwait,KWT,Individuals using the Internet (% of population),IT.NET.USER.ZS,82.0,85.6,98.0,99.6,99.5,99.1,99.7,99.7,99.7
Latin America & Caribbean (excluding high income),LAC,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Lao PDR,LAO,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.2,21.9,25.5,36.3,47.0,54.0,62.0,62.7,63.6
Lebanon,LBN,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.0,76.1,78.2,80.9,81.5,82.1,82.7,82.8,83.5
Liberia,LBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.0,15.7,16.3,17.3,18.3,19.4,20.6,21.9,23.5
Libya,LBY,Individuals using the Internet (% of population),IT.NET.USER.ZS,55.2,58.83,62.47,65.53,69.73,87.6,88.6,88.6,88.5
St. Lucia,LCA,Individuals using the Internet (% of population),IT.NET.USER.ZS,57.3,58.2,59.2,60.1,61.1,62.1,63.1,65.4,70.1
Latin America & Caribbean,LCN,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Least developed countries: UN classification,LDC,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Low income,LIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.9,10.4,12.1,14.2,17.2,18.4,20.9,23.1,24.4
Liechtenstein,LIE,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.6,98.1,99.5,96.97,93.1,94.3,95.6,96.5,97.3
Sri Lanka,LKA,Individuals using the Internet (% of population),IT.NET.USER.ZS,15.3,22.2,25.1,28.3,32.0,36.2,44.5,48.3,51.2
Lower middle income,LMC,Individuals using the Internet (% of population),IT.NET.USER.ZS,19.7,22.2,24.7,27.5,33.6,42.9,46.6,48.8,50.9
Low & middle income,LMY,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Lesotho,LSO,Individuals using the Internet (% of population),IT.NET.USER.ZS,25.0,32.5,39.0,40.8,42.3,43.7,45.1,46.5,48.0
Late-demographic dividend,LTE,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Lithuania,LTU,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.4,74.4,77.6,79.7,81.6,83.1,86.9,87.7,88.5
Luxembourg,LUX,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.4,98.1,97.4,97.1,97.1,98.5,98.7,98.2,99.3
Latvia,LVA,Individuals using the Internet (% of population),IT.NET.USER.ZS,79.2,79.8,80.1,83.6,86.1,88.9,91.2,91.0,92.2
"Macao SAR, China",MAC,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.6,81.6,83.2,83.8,86.5,87.5,88.5,88.0,89.2
St. Martin (French part),MAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Morocco,MAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,57.1,58.3,61.8,64.8,84.1,84.1,88.1,89.9,91.0
Monaco,MCO,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.4,95.2,97.1,94.6,83.3,98.6,99.1,99.1,99.1
Moldova,MDA,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.0,71.0,49.9,50.3,57.8,58.2,74.5,76.7,80.2
Madagascar,MDG,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.17,4.71,6.4,7.75,9.38,11.4,13.7,18.6,20.4
Maldives,MDV,Individuals using the Internet (% of population),IT.NET.USER.ZS,54.5,59.5,65.0,70.9,77.5,79.1,82.0,83.9,84.7
Middle East & North Africa,MEA,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Mexico,MEX,Individuals using the Internet (% of population),IT.NET.USER.ZS,57.4,59.5,53.0,56.7,69.6,71.5,75.6,78.6,81.2
