Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
High income,HIC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.46,2.51,2.54,2.62,2.7,2.88,2.84,2.93,2.931915173,2.931915173
"Hong Kong SAR, China",HKG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.76,0.79,0.84,0.86,0.93,0.99,0.97,1.07,1.07288003,1.07288003
Honduras,HND,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.01,0.03,0.04,0.06,0.06,0.92,1.04,1.0,0.999535024,0.999535024
Heavily indebted poor countries (HIPC),HPC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Croatia,HRV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.82,0.84,0.84,0.94,1.07,1.23,1.23,1.4,1.403229952,1.403229952
Haiti,HTI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Hungary,HUN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.34,1.18,1.32,1.51,1.47,1.59,1.64,1.39,1.394729972,1.394729972
IBRD only,IBD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.36,1.38,1.35,1.4,1.47,1.62,1.84,1.95,1.948047269,1.948047269
IDA & IBRD total,IBT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.33,1.36,1.32,1.39,1.42,1.6,1.8,1.92,1.923100452,1.923100452
IDA total,IDA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
IDA blend,IDB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.23,0.92,1.04,1.0,0.999535024,0.999535024
Indonesia,IDN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.25,0.24,0.23,0.27,0.28,1.04,1.0,0.999535024,0.999535024
IDA only,IDX,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Isle of Man,IMN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
India,IND,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.69,0.67,0.67,0.66,0.66,0.65,1.04,1.0,0.999535024,0.999535024
Not classified,INX,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Ireland,IRL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.18,1.18,1.25,1.11,1.16,1.15,1.11,0.96,0.962639987,0.962639987
"Iran, Islamic Rep.",IRN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.39,0.58,0.76,0.77,0.79,0.76,0.73,1.0,0.999535024,0.999535024
Iraq,IRQ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.04,0.04,0.05,0.04,0.03,0.04,0.04,1.0,0.999535024,0.999535024
Iceland,ISL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.18,2.11,2.08,2.0,2.34,2.49,2.78,2.6,2.600399971,2.600399971
Israel,ISR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,4.3,4.59,4.74,4.91,5.33,5.8,5.78,6.02,6.019239902,6.019239902
Italy,ITA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.34,1.37,1.37,1.42,1.46,1.51,1.43,1.39,1.390140057,1.390140057
Jamaica,JAM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Jordan,JOR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.7,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Japan,JPN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,3.24,3.11,3.17,3.22,3.22,3.26,3.28,3.41,3.405369997,3.405369997
Kazakhstan,KAZ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.17,0.14,0.13,0.12,0.12,0.13,0.13,0.12,0.117150001,0.117150001
Kenya,KEN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,0.41,0.410189986,0.410189986
Kyrgyz Republic,KGZ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.12,0.11,0.11,0.1,0.09,0.08,0.07,0.07,0.069219999,0.069219999
Cambodia,KHM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.12,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Kiribati,KIR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
St. Kitts and Nevis,KNA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
"Korea, Rep.",KOR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,3.98,3.99,4.29,4.52,4.63,4.8,4.91,5.21,5.210810184,5.210810184
Kuwait,KWT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.1,0.08,0.08,0.06,0.19,0.18,0.13,0.08,0.080410004,0.080410004
Latin America & Caribbean (excluding high income),LAC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.81,0.76,0.68,0.68,0.69,0.65,1.04,1.0,0.999535024,0.999535024
Lao PDR,LAO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Lebanon,LBN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Liberia,LBR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Libya,LBY,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
St. Lucia,LCA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Latin America & Caribbean,LCN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.76,0.72,0.65,0.64,0.65,0.62,1.04,1.0,0.999535024,0.999535024
