"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Cyprus","CYP","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","5880","10000","17100","31900","63100","97600","147000","176000","194000","212000","221000","229000","244000","261000","278000","296000","314000","327000","332000","341000","349000","357000","",
"Czechia","CZE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","6200","15300","34700","236000","709000","1110000","1500000","1760000","2040000","2260000","2510000","2660000","2860000","2990000","2950000","3070000","3150000","3220000","3740000","3850000","3950000","4030000","4099999.99999999","",
"Germany","DEU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265000","2100000","3210000","4470000","7000000","10800000","15000000","19800000","22700000","25000000","26200000","27300000","28000000","28600000","29600000","30700000","31900000","33200000","34200000","35200000","36200000","36900000","37500000","38400000","",
"Djibouti","DJI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","6","","","42","152","1090","2450","5290","8060","11300","14900","17700","20100","24200","24300","24400","25500","24400","25100","15600","16100","17000","",
"Dominica","DMA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","175","2240","2650","3250","3400","4300","5000","7000","7300","8310","8310","8500","10700","10800","15200","15500","15400","11500","15200","18300","14100","13900","","",
"Denmark","DNK","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67000","238000","451000","718000","1020000","1340000","1740000","1900000","2009999.99999999","2020000","2110000","2140000","2180000","2270000","2340000","2400000","2460000","2510000","2540000","2540000","2590000","2630000","2650000","2650000","",
"Dominican Republic","DOM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15000","37300","60700","103000","174000","239000","316000","391000","424000","484000","527000","600000","686000","761000","821000","861000","930000","1030000","1150000","1200000","1260000","",
"Algeria","DZA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18000","36000","135000","170000","287000","485000","818000","900000","981000","1150000","1280000","1600000","2270000","2860000","3210000","3070000","3580000","3790000","4179999.99999999","4710000","5540000","",
"East Asia & Pacific (excluding high income)","EAP","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26660","366942","3378319","11467799","25585922","38841935","53495368","71349499","90438964","115076354","137813799","171435448","192704937","208230934","221605798","301262306","350329750","426573136","445595846","494878357","536159450","595137117","652624450","","",
"Early-demographic dividend","EAR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","340814","1030975","2238814","4409981","8782017","14287438","22273662","31973945","42026576","49053814","59492712","69299247","74247258","81911252","98206435","110489115","118977804","130214901","139478095","163500628","185919719","197097026","","",
"East Asia & Pacific","EAS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5502154","14174055","26912269","42925828","64143608","83423794","105572186","126899476","150486995","179028520","204757978","241184447","264487108","282207313","296268458","378200000","429800000","507900000","528700000","580200000","623300000","685600000","744900000","794400000","",
"Europe & Central Asia (excluding high income)","ECA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1819411","3598236","6676694","9492529","11882937","15438540","17860550","20521795","23332741","24324219","27752125","30300016","33062975","35899610","38050221","44003648","47914757","50275629","","",
"Europe & Central Asia","ECS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13727835","24979185.33","43256734","66095091","91501481","116707962","136931466","153568081","168621886","181138326","192487473","204571387","212703007","224300000","233500000","246200000","255000000","262600000","275500000","285500000","293100000","303500000","",
"Ecuador","ECU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2620","6500","6920","11600","26800","46000","100000","156000","241000","221000","659000","844000","1060000","1320000","1490000","1610000","1780000","1950000","2089999.99999999","2370000","2480000","2690000","2890000","",
